Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count
Midnight Club: Los Angeles,10/20/2008,Rockstar San Diego,Rockstar Games,Auto Racing Sim,Rated T For Teen,8.2,111
X-Men: The Official Game,5/16/2006,"Z-Axis, Ltd.",Activision,3D Beat-'Em-Up,Rated T For Teen,6.8,11
Battlerite,11/8/2017,Stunlock Studios,Stunlock Studios,MOBA,,7.3,136
Kengo: Legend of the 9,9/11/2007,Genki,Majesco,3D Beat-'Em-Up,Rated M For Mature,4.4,5
Frogger 2: Swampy's Revenge,10/1/2000,Blitz Games,Hasbro Interactive,3D Platformer,Rated E For Everyone,8.2,13
Cooking Mama: Cookstar,3/31/2020,1st Playable Productions,Planet Entertainment,Virtual Career,Rated E For Everyone,6.9,24
Centipede: Recharged,9/29/2021,Adamvision Studios,Atari,Arcade,Rated E For Everyone,,
Zombie Infection,5/10/2010,Gameloft,Gameloft,Third Person Shooter,,7.8,5
Def Jam Rapstar,10/5/2010,4mm Games,Konami,Rhythm,Rated T For Teen,6.1,9
Project 83113,6/6/2012,NCSOFT,NCSOFT,Action,,,
Endless Road (2012),11/21/2012,Chillingo,Chillingo,Auto Racing,,,
Spider-Man 2,6/28/2004,Treyarch,Activision,Open-World Action,Rated T For Teen,8,54
Assassin's Creed III - The Redemption,4/23/2013,Ubisoft Quebec,Ubisoft,Open-World Action,Rated M For Mature,5.7,37
New Super Mario Bros. U,11/18/2012,Nintendo,Nintendo,2D Platformer,Rated E For Everyone,8,1000
Calico,12/15/2020,Peachy Keen Games,Whitethorn Digital,Virtual Life,Rated E For Everyone,6.4,13
Tiki Towers 2,1/20/2011,GameHouse,GameHouse,Strategy,,,
Zax: The Alien Hunter,10/9/2001,Reflexive Entertainment,JoWooD Entertainment AG,Action,Rated T For Teen,7.5,10
Secret Weapons Over Normandy,11/18/2003,Totally Games,LucasArts,Aircraft Combat Sim,Rated T For Teen,,
Final Exam,11/5/2013,Mighty Rocket Studio,Focus Home Interactive,2D Beat-'Em-Up,Rated T For Teen,5.3,8
Rygar: The Legendary Adventure,11/25/2002,Tecmo,Tecmo,Action Adventure,Rated T For Teen,8,22
Spyro Reignited Trilogy,11/13/2018,Toys for Bob,Activision,Compilation,Rated E +10 For Everyone +10,8.2,944
Sonic Riders,2/21/2006,Sonic Team,Sega,Arcade Racing,Rated E For Everyone,7.7,83
Bloodborne,3/24/2015,From Software,SCEA,Action RPG,Rated M For Mature,9,13633
Return of the Obra Dinn,10/18/2018,Lucas Pope,3909,First-Person Adventure,,8.6,439
Ice Age: Continental Drift - Arctic Games,7/10/2012,Activision,Activision,3D Platformer,Rated E For Everyone,6.4,9
WarioWare: Get It Together!,9/10/2021,Nintendo,Nintendo,Party,Rated E +10 For Everyone +10,7.7,145
MySims Kingdom,10/28/2008,EA Redwood Shores,Electronic Arts,Virtual Life,Rated E For Everyone,7.3,22
Sleeping Dogs,8/14/2012,United Front Games,Square Enix,Open-World Action,Rated M For Mature,8,583
Louvre: The Messenger,2/14/2001,Index Multimedia,DreamCatcher Interactive,Point-and-Click,Rated T For Teen,,
Breath of Fire II,4/16/2002,Capcom,Capcom,JRPG,Rated E For Everyone,8.7,30
Retro Game Challenge,2/10/2009,indieszero,XSEED Games,Trivia,Rated E For Everyone,5.9,13
Legendary,11/4/2008,Spark Unlimited,Gamecock Media Group,FPS,Rated M For Mature,6.4,43
Puyo Puyo Tetris,4/25/2017,Sonic Team,Sega,Stacking Puzzle,Rated E +10 For Everyone +10,8.1,220
BoxBoxBoy!,6/30/2016,HAL Labs,Nintendo,Action Puzzle,Rated E For Everyone,7.9,16
The Last Blade 2,8/6/2001,SNK,Agetec,2D Fighting,Rated T For Teen,7.8,14
Castlevania Puzzle: Encore of the Night,7/21/2010,Konami,Konami,Stacking Puzzle,,8.2,6
Shining Soul II,4/20/2004,Nex Entertainment,Atlus,Action RPG,Rated E For Everyone,7.5,8
The Sims 3: Into the Future,10/22/2013,Maxis,Electronic Arts,Virtual Life,Rated T For Teen,5.6,48
Wii Sports Club,11/7/2013,Nintendo,Nintendo,Athletics,Rated E +10 For Everyone +10,7,132
We Ski & Snowboard,3/3/2009,Bandai Namco Games,Namco Bandai Games,Skiing,Rated E For Everyone,6.7,6
Flow: Urban Dance Uprising,11/15/2005,Artificial Mind and Movement,Ubisoft,Dancing,Rated T For Teen,,
Chronos: Before the Ashes,12/1/2020,Gunfire Games,THQ Nordic,Action Adventure,Rated T For Teen,5.3,26
NHL 10,9/15/2009,EA Canada,EA Sports,Hockey Sim,Rated E +10 For Everyone +10,8.2,24
This War of Mine: Final Cut,5/10/2022,11 bit studios,11 bit studios,Board,Rated M For Mature,7.1,32
Eufloria,10/4/2011,Rudolf Kremers,Omni Systems,Strategy,Rated E For Everyone,7.5,11
Night Call,7/17/2019,BlackMuffin Studio,Raw Fury,Adventure,,5.6,25
Mega Man Network Transmission,6/17/2003,Arika,Capcom,2D Platformer,Rated E For Everyone,6.1,17
Flight Simulator 2002,10/19/2001,Microsoft Game Studios,Microsoft Game Studios,Aircraft Sim,Rated E For Everyone,6.9,41
Dead Rising 3: The Last Agent,3/18/2014,Capcom Vancouver,Microsoft Game Studios,Open-World Action,Rated M For Mature,4.4,29
Sludge Life 2,6/27/2023,Terri Vellimann,Devolver Digital,Open-World Action,,5,
Doki-Doki Universe,12/10/2013,Humanature Studios,SCEA,Miscellaneous,Rated E +10 For Everyone +10,6.3,103
Legion,6/3/2002,Slitherine,Strategy First,Turn-Based Strategy,Rated T For Teen,5.2,5
Blossom Tales: The Sleeping King,12/21/2017,"Castle Pixel, LLC.",FDG Entertainment,Open-World Action,Rated E +10 For Everyone +10,7.9,90
WWE 2K20,10/22/2019,Visual Concepts,2K Games,Wrestling,Rated T For Teen,1.8,353
Downwell,10/15/2015,Moppin,Devolver Digital,Action,,6.8,144
Orangeblood,1/13/2020,Grayfax Software,Active Gaming Media,JRPG,,7.3,7
Enter the Gungeon,4/5/2016,Dodge Roll,Devolver Digital,Top-Down Shoot-'Em-Up,Rated T For Teen,8,232
Falcon 4.0: Allied Force,6/28/2005,Lead Pursuit,Graphsim Entertainment,Aircraft Combat Sim,Rated T For Teen,7,29
Pokemon Sword / Shield: The Crown Tundra,10/22/2020,Game Freak,The Pokemon Company,Trainer RPG,,7.1,238
R-Type Command,5/6/2008,Irem,Atlus,Turn-Based Strategy,Rated E +10 For Everyone +10,7.8,9
Doctor Lautrec and the Forgotten Knights,12/13/2011,WinkySoft,Konami,Puzzle,Rated E +10 For Everyone +10,5.4,9
Hyperdimension Neptunia MK2,2/28/2012,Compile Heart,NIS America,JRPG,Rated M For Mature,7.3,102
Gravity Guy 2,5/16/2013,Miniclip.com,Miniclip.com,Action,,,
Ace Combat: Assault Horizon Legacy,11/15/2011,Project Aces,Namco Bandai Games,Aircraft Combat Sim,Rated T For Teen,7.4,31
Battlefield 3: End Game,3/26/2013,EA DICE,Electronic Arts,Tactical FPS,Rated M For Mature,7.4,73
Assassin's Creed II: Battle of Forli,1/28/2010,Ubisoft Montreal,Ubisoft,Open-World Action,Rated M For Mature,6.4,29
Tom Clancy's Splinter Cell Classic Trilogy HD,9/27/2011,Ubisoft,Ubisoft,Compilation,Rated M For Mature,7.1,41
Madden NFL 19,8/10/2018,EA Tiburon,Electronic Arts,Football Sim,Rated E For Everyone,2.1,271
Neverout,7/10/2018,Gamedust,Gamedust,Puzzle,Rated E +10 For Everyone +10,7.6,8
Mario Golf: Advance Tour,6/22/2004,Camelot Software Planning,Nintendo,Golf Sim,Rated E For Everyone,8.2,18
If Found...,5/19/2020,dreamfeel,Annapurna Interactive,Visual Novel,,6.7,32
America's Army (2002),7/4/2002,U.S. Army,U.S. Army,Tactical FPS,Rated T For Teen,5.4,22
Kinect Rush: A Disney-Pixar Adventure,3/20/2012,Asobo Studio,Microsoft Game Studios,Adventure,Rated E For Everyone,5.1,20
INDUSTRIA,9/30/2021,Bleakmill,Headup Games,FPS,,6.2,25
Battlestar Galactica (2003),10/28/2003,Warthog,Universal Interactive,Space Combat Sim,Rated T For Teen,,
Sam & Max Episode 201: Ice Station Santa,11/8/2007,Telltale Games,Telltale Games,Point-and-Click,Rated T For Teen,7.9,16
The King of Fighters Collection: The Orochi Saga,10/28/2008,M2,SNK Playmore,Compilation,Rated T For Teen,6.4,7
Harmony: The Fall of Reverie,6/8/2023,DONTNOD Entertainment,DONTNOD Entertainment,Visual Novel,,5.8,23
Ninjatown,10/28/2008,Venan Entertainment,SouthPeak Games,Defense,Rated E For Everyone,8.1,17
Titan Attacks!,2/26/2015,Puppy Games,Curve Studios,Vertical Shoot-'Em-Up,Rated E For Everyone,,
Tiger Woods PGA Tour 2005,9/20/2004,EA Sports,EA Sports,Golf Sim,Rated E For Everyone,7.3,7
Command & Conquer: Red Alert 3 - Uprising,3/12/2009,EA LA,Electronic Arts,Real-Time Strategy,Rated T For Teen,6.8,99
Dawn of Fear,2/3/2020,Brok3nsite,Gammera Nest,Survival,,3.9,41
Sokobond,8/27/2013,Alan Hazelden & Harry Lee,Alan Hazelden & Harry Lee,Action Puzzle,,7.6,9
Nowhere Prophet,7/19/2019,Sharkbomb Studios,Sharkbomb Studios,Card Battle,,6.2,38
The Walking Dead: The Telltale Series - A New Frontier Episode 2: Ties That Bind Part Two,12/20/2016,Telltale Games,Telltale Games,Point-and-Click,,7.1,90
Pokemon Trading Card Game Online,9/30/2014,Dire Wolf Digital,The Pokemon Company,Card Battle,,6.4,69
Stormland,11/14/2019,Insomniac Games,Oculus Studios,Open-World Action,Rated T For Teen,7.7,33
Mega Man X8,12/7/2004,"Valuewave Co.,Ltd.",Capcom,3D Platformer,Rated E For Everyone,8.3,107
Toribash,7/12/2010,Nabi Studios,Nabi Studios,3D Fighting,Rated T For Teen,6,7
Afterimage,4/25/2023,Aurogon Shanghai,Modus Games,Metroidvania,,7.4,21
CSI: Crime Scene Investigation: Deadly Intent,10/27/2009,Telltale Games,Ubisoft,Adventure,Rated M For Mature,5.9,9
F1 2017,8/25/2017,Codemasters,Codemasters,Auto Racing Sim,Rated E For Everyone,7.5,101
Napoleon Dynamite: The Game,10/23/2007,7 Studios,Crave,Party,Rated E +10 For Everyone +10,,
Mortal Kombat 11: Aftermath,5/26/2020,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,Rated M For Mature,6.2,118
Injustice 2: Legendary Edition,3/27/2018,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,,7.9,323
Yakuza 5,12/8/2015,Ryu ga Gotoku Studios,Sega,Open-World Action,Rated M For Mature,8.5,298
Me & My Katamari,3/21/2006,Namco,Namco,Action Adventure,Rated E For Everyone,6.4,27
Shogun: Total War Warlord Edition,8/13/2001,Creative Assembly,Electronic Arts,Turn-Based Strategy,Rated T For Teen,8.1,45
Shantae: Half-Genie Hero,12/20/2016,WayForward,XSEED Games,2D Platformer,Rated T For Teen,7.5,114
Pocket Planes,6/14/2012,NimbleBit,NimbleBit,Strategy,,7,25
Shape of the World,6/6/2018,Seaven Studio,Hollow Tree Games,Open-World Action,Rated E +10 For Everyone +10,7.4,7
Fire Emblem Warriors,10/20/2017,Omega Force,Nintendo,3D Beat-'Em-Up,Rated T For Teen,7.7,420
CSI: Crime Scene Investigation: Dark Motives,3/23/2004,369 Interactive,Ubisoft,Point-and-Click,Rated M For Mature,6.9,10
Dark Souls II: Crown of the Ivory King,9/29/2014,Namco Bandai Games,Bandai Namco Games,Action RPG,,7.7,118
Bonsai Barber,3/30/2009,Zoonami Ltd.,Nintendo,Virtual Life,Rated E For Everyone,6.3,
Detective Grimoire,1/2/2014,SFB Games,Armor Games,Point-and-Click,,7,13
Tales of Vesperia: Definitive Edition,1/11/2019,QLOC,Bandai Namco Games,Action RPG,Rated T For Teen,7.6,145
The Smurfs: Mission Vileaf,11/16/2021,OSome Studio,Microids,3D Platformer,Rated E For Everyone,7.3,7
Mario Sports Mix,2/7/2011,Square Enix,Nintendo,Sports,Rated E For Everyone,8,72
Deponia Doomsday,3/1/2016,Daedalic Entertainment,Daedalic Entertainment,Point-and-Click,Rated M For Mature,7.3,127
Bust A Groove 2,3/31/1999,Metro,Enix Corporation,Dancing,Rated E For Everyone,7.7,19
Super Dungeon Bros,11/1/2016,React Games,Wired Productions,Roguelike,Rated E +10 For Everyone +10,2.5,17
Dr. Mario 64,4/8/2001,Newcom,Nintendo,Matching Puzzle,Rated E For Everyone,6.7,19
Digimon World Data Squad,9/18/2007,Bec,Namco Bandai Games,RPG,Rated E +10 For Everyone +10,7.1,29
New Pokemon Snap,4/30/2021,Bandai Namco Games,Nintendo,Rail Shooter,Rated E For Everyone,6.9,674
The Typing of The Dead: Overkill,10/29/2013,Modern Dream,Sega,Arcade,Rated M For Mature,7.5,53
Radiohammer,12/10/2015,Arc System Works,Aksys Games,Rhythm,Rated T For Teen,,
Command & Conquer: Generals,2/10/2003,EA Pacific,EA Games,Real-Time Strategy,Rated T For Teen,8.5,327
Bit.Trip Flux,2/28/2011,Gaijin Games,Aksys Games,Rhythm,Rated E For Everyone,7.7,7
T-72: Balkans on Fire,,IDDK,Battlefront.com,Vehicle Combat Sim,,,
The Last Worker,3/30/2023,Wolf & Wood Interactive,Wired Productions,First-Person Adventure,Rated M For Mature,4,6
Bomberman Max 2: Blue Advance,5/30/2002,Hudson,Majesco,Action Puzzle,Rated E For Everyone,,
Unexplored 2: The Wayfarer's Legacy,5/20/2021,Ludomotion,Ludomotion,Action RPG,,,
Tiny Troopers: Joint Ops,2/26/2016,Epiphany Games,Wired Productions,Top-Down Shoot-'Em-Up,Rated T For Teen,5.3,8
Warcraft III: Reforged,1/28/2020,Blizzard Entertainment,Blizzard Entertainment,Real-Time Strategy,Rated T For Teen,0.6,31141
Wario Land 4,11/18/2001,Nintendo,Nintendo,2D Platformer,Rated E For Everyone,8.7,90
Fenix Furia,9/24/2014,Green Lava Studios,Reverb Triple XP,2D Platformer,,6.8,18
The Egyptian Prophecy,3/30/2004,DreamCatcher Interactive,The Adventure Company,Adventure,Rated E For Everyone,5.3,6
Rockstar Games presents Table Tennis,5/22/2006,Rockstar San Diego,Rockstar Games,Individual Sports,Rated E For Everyone,7.5,41
Amnesia: Rebirth,9/15/2020,Frictional Games,Frictional Games,Survival,Rated M For Mature,6.4,267
Far Cry Instincts Evolution,3/28/2006,Ubisoft Montreal,Ubisoft,FPS,Rated M For Mature,7.2,17
"What Did I Do to Deserve This, My Lord!?",7/16/2009,Acquire,NIS America,Strategy,Rated T For Teen,8.2,28
Armored Core 4,3/20/2007,From Software,Sega,Vehicle Combat Sim,Rated T For Teen,6.7,34
Captain America: Super Soldier,7/19/2011,Next Level Games,Sega,Action Adventure,Rated T For Teen,6.7,47
Shadow of the Tomb Raider,9/12/2018,Eidos Montreal,Square Enix,Action Adventure,Rated M For Mature,7.5,1824
Naruto: Clash of Ninja 2,9/26/2006,Eighting,Tomy Corporation,3D Fighting,Rated T For Teen,7.5,21
Army Men: World War,4/3/2000,3DO,3DO,Action,Rated T For Teen,6.8,12
The Polar Express,11/2/2004,Blue Tongue Entertainment,THQ,Action Adventure,Rated E For Everyone,7.3,15
Dungeon Siege II,8/16/2005,Gas Powered Games,Microsoft Game Studios,Action RPG,Rated M For Mature,7.9,183
Aion,9/22/2009,NCSOFT,NCSOFT,MMORPG,Rated T For Teen,6.7,202
Super Stickman Golf 3,7/7/2016,Noodlecake Studios,Noodlecake Studios,Golf,,6.2,25
Superman (2011),11/17/2011,Chillingo,Chillingo,Adventure,,,
EyeToy: Groove,4/20/2004,SCEE,SCEA,Dancing,Rated E For Everyone,,
Major League Baseball 2K9,3/3/2009,2K Sports,2K Sports,Baseball Sim,Rated E For Everyone,,
Demon Gaze II,11/14/2017,Experience Inc.,NIS America,Western RPG,Rated T For Teen,7.1,18
RC Revenge Pro,1/10/2001,Acclaim Studios Cheltenham,Acclaim,Auto Racing,Rated E For Everyone,8.7,6
Night Trap: 25th Anniversary Edition,8/15/2017,Screaming Villains,Limited Run Games,Action,Rated T For Teen,4.8,9
Bulletstorm: Full Clip Edition,4/7/2017,People Can Fly,Gearbox Publishing,FPS,Rated M For Mature,7.1,176
Kane & Lynch: Dead Men,11/13/2007,Io Interactive,Eidos Interactive,Tactical Third Person Shooter,Rated M For Mature,5.7,68
Resident Evil: Chronicles HD Collection,6/26/2012,Capcom,Capcom,Compilation,Rated M For Mature,7.3,57
DreadOut,5/15/2014,Digital Happiness,Digital Happiness,Survival,Rated M For Mature,6.4,107
Guilty Gear Dust Strikers,4/25/2006,Arc System Works,Majesco,2D Fighting,Rated T For Teen,5.7,10
Giants: Citizen Kabuto,12/6/2000,Planet Moon Studios,Interplay,Third Person Shooter,Rated M For Mature,8.4,98
Eldest Souls,7/29/2021,Fallen Flag Studio,United Label,Action RPG,,7.1,31
Mighty DOOM,3/21/2023,Alpha Dog Games,Bethesda Softworks,Top-Down Shoot-'Em-Up,,6.7,28
The Dream Machine,12/14/2010,Cockroach Inc.,Cockroach Inc.,Point-and-Click,,8.3,54
Ontamarama,11/6/2007,Noise Factory,Atlus,Rhythm,Rated E For Everyone,,
Pokemon Pearl Version,4/22/2007,Game Freak,Nintendo,Trainer RPG,Rated E For Everyone,8.1,444
Naruto: Ultimate Ninja,6/26/2006,CyberConnect2,Namco Bandai Games,3D Fighting,Rated T For Teen,6.9,44
Ape Out,2/28/2019,Gabe Cuzzillo,Devolver Digital,Top-Down Shoot-'Em-Up,,6.8,112
Tony Hawk's Pro Skater HD,7/18/2012,Robomodo,Activision,Skating,Rated T For Teen,5.5,77
Umurangi Generation,6/5/2021,ORIGAME DIGITAL,Playism,First-Person Adventure,Rated T For Teen,7.9,7
Serial Cleaners,9/22/2022,Draw Distance,505 Games,Action Adventure,Rated M For Mature,6.9,18
Doctor Who: The Eternity Clock,5/22/2012,Supermassive Games,BBC Worldwide,Action Adventure,Rated E +10 For Everyone +10,6.7,29
RollerCoaster Tycoon 4 Mobile,4/9/2014,Atari SA,Atari SA,Tycoon,,0.4,96
Blaster Master Zero III,7/29/2021,Inti Creates,Inti Creates,Action Adventure,Rated E +10 For Everyone +10,8.2,12
Mario Party,2/8/1999,Hudson,Nintendo,Party,Rated E For Everyone,8,166
SWAT: Global Strike Team,10/29/2003,Argonaut Games,Sierra Entertainment,Tactical FPS,Rated M For Mature,,
"Snipperclips - Cut it out, together!",3/3/2017,SFB Games,Nintendo,Puzzle,Rated E For Everyone,8.2,385
"Invisible, Inc.",5/12/2015,Klei Entertainment,Klei Entertainment,Turn-Based Tactics,,7.9,197
Tatsunoko vs. Capcom: Ultimate All-Stars,1/26/2010,Eighting,Capcom,2D Fighting,Rated T For Teen,8.1,63
Victor Vran,7/24/2015,Haemimont Games,EuroVideo Medien,Action RPG,,7.6,133
Shifters,6/17/2002,3DO,3DO,Action Adventure,Rated T For Teen,,
Torchlight,3/9/2011,Runic Games,Microsoft Game Studios,Action RPG,Rated T For Teen,7.7,147
Streets of Rage 4,4/30/2020,Lizardcube,DotEmu,2D Beat-'Em-Up,Rated T For Teen,8.2,362
Forza Motorsport 6,9/15/2015,Turn 10,Microsoft Game Studios,Auto Racing Sim,Rated E For Everyone,7.7,960
Batman Begins,6/14/2005,Eurocom,EA Games,Linear Action Adventure,Rated T For Teen,7.5,21
Wario Land: Shake It!,9/22/2008,Good-Feel,Nintendo,2D Platformer,Rated E For Everyone,8.4,65
Speedball 2: Brutal Deluxe,10/17/2007,Razorworks,Empire Interactive,Future Sport,Rated E For Everyone,,
Sudoku Gridmaster,6/26/2006,AI,Nintendo,Logic Puzzle,Rated E For Everyone,,
Monster Jam: Maximum Destruction,6/13/2002,Ubisoft,Ubisoft,Auto Racing Sim,Rated T For Teen,,
Sam & Max Episode 106: Bright Side of the Moon,4/26/2007,Telltale Games,GameTap,Point-and-Click,Rated T For Teen,7.1,14
Dynasty Warriors 8,7/16/2013,Omega Force,Tecmo Koei Games,3D Beat-'Em-Up,Rated T For Teen,8.1,84
Batman: Return to Arkham,10/18/2016,Rocksteady Studios,Warner Bros. Interactive Entertainment,Compilation,Rated T For Teen,8.6,539
Nerf N-Strike,10/28/2008,EA Salt Lake,Electronic Arts,Light Gun,Rated E +10 For Everyone +10,5.6,7
Act of War: High Treason,5/30/2006,Eugen Systems,Atari SA,Real-Time Strategy,Rated T For Teen,6.7,21
L.A. Noire,5/17/2011,Team Bondi,Rockstar Games,Open-World Action,Rated M For Mature,8,1057
Indiana Jones and the Infernal Machine,12/15/2000,Factor 5,LucasArts,Linear Action Adventure,Rated T For Teen,8.3,12
Batora: Lost Haven,10/20/2022,Stormind Games,Team17,Action RPG,,7.3,40
Dimension Drive,12/7/2017,2Awesome Studio,2Awesome Studio,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.7,10
Prehistorik Man,10/16/2001,Titus Software,Titus Software,2D Platformer,Rated E For Everyone,8,5
Pop,5/12/2008,Nnooo,Nnooo,Puzzle,Rated E For Everyone,,
Sleep Tight (2018),7/26/2018,We Are Fuzzy,We Are Fuzzy,Top-Down Shoot-'Em-Up,Rated E +10 For Everyone +10,6,
Cart Life (2013),7/29/2010,Richard Hofmeier,Richard Hofmeier,Simulation,,5.9,23
Gods Will Be Watching,7/24/2014,Devolver Digital,Devolver Digital,Point-and-Click,,6.4,148
LocoRoco Midnight Carnival,10/29/2009,SCE Japan Studio,SCEA,2D Platformer,Rated E For Everyone,7.4,14
Hitman - Episode 3: Marrakesh,5/31/2016,Io Interactive,Square Enix,Action Adventure,,7.3,59
Company of Crime,8/7/2020,Resistance Games,1C Entertainment,Strategy,,,
NES Remix 2,4/25/2014,indieszero,Nintendo,Party,Rated E For Everyone,8,60
Deca Sports 2,9/29/2009,CAProduction,Hudson,Athletics,Rated E For Everyone,,
"WarioWare, Inc.: Mega Microgame$!",5/26/2003,Nintendo,Nintendo,Party,Rated E For Everyone,8.5,68
The Centennial Case: A Shijima Story,5/12/2022,h.a.n.d. Inc.,Square Enix,Adventure,Rated T For Teen,5.8,9
Blacklight: Retribution,4/3/2012,Zombie Studios,Perfect World Entertainment,FPS,,7.6,360
ZEN Pinball 2,12/24/2013,Zen Studios,Zen Studios,Pinball,Rated E +10 For Everyone +10,7,92
Star Wars: The Force Unleashed,9/16/2008,LucasArts,LucasArts,Linear Action Adventure,Rated T For Teen,7,330
Demon's Souls (2009),10/6/2009,From Software,Atlus,Action RPG,Rated M For Mature,8.7,1695
Super Swing Golf,12/12/2006,Ntreev Soft,Tecmo,Golf Sim,Rated E +10 For Everyone +10,,
DOOM 3: Resurrection of Evil,4/4/2005,Nerve Software,Activision,FPS,Rated M For Mature,7.8,172
Payday 3,9/21/2023,Starbreeze,Deep Silver,FPS,Rated M For Mature,3.1,325
Atlantis Quest,3/2/2006,TERMINAL Studio,Big Fish Games,Matching Puzzle,,,
Time Crisis 2nd Strike,9/15/2010,Namco Networks America,Namco Networks America,Rail Shooter,,,
NCAA March Madness 2002,1/7/2002,NuFX,EA Sports,Basketball Sim,Rated E For Everyone,,
Encodya,1/26/2021,Chaosmonger Studio,Assemble Entertainment,Point-and-Click,,6.7,21
Mario & Sonic at the Olympic Winter Games,10/13/2009,Sega Sports R&D,Sega,Athletics,Rated E For Everyone,7.9,74
Tomb Raider (1996),11/15/1996,Core Design Ltd.,Eidos Interactive,Linear Action Adventure,Rated T For Teen,8.3,334
Star Wars Jedi Knight II: Jedi Outcast,3/26/2002,Raven Software,Activision,Linear Action Adventure,Rated T For Teen,8.6,511
Curse: The Eye of Isis,12/8/2003,Asylum Entertainment,DreamCatcher Interactive,Survival,Rated M For Mature,,
Per Aspera,12/3/2020,Tlon Studios,Raw Fury,Tycoon,,7.3,26
The Wolf Among Us: Episode 5 - Cry Wolf,7/8/2014,Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,8.4,428
Runes of Magic,3/19/2009,Runewaker Entertainment,Frogster Interactive,MMORPG,Rated T For Teen,5,45
