title,releasedate,developer,publisher,genres,productrating,userscore,userratingscount,id
Mystical Ninja starring Goemon,1998-04-16,KCEO,Konami,Open-World Action,Rated E For Everyone,8.5,48,179
Myth: The Fallen Lords,1997-10-31,Bungie,Bungie,Real-Time Strategy,Rated M For Mature,8.4,101,180
Quantum Error,2023-11-03,TeamKill Media LLC,TeamKill Media LLC,FPS,Rated M For Mature,3.5,63,181
Mafia II: Definitive Edition,2020-05-19,Hangar 13,2K Games,Open-World Action,Rated M For Mature,5.9,503,182
The Red Lantern,2020-10-22,Timberline Studio,Timberline Studio,Survival,Rated T For Teen,5,10,183
Caveman Warriors,2017-12-05,JanduSoft,JanduSoft,2D Platformer,Rated E +10 For Everyone +10,5.6,7,184
Final Fantasy V,2006-11-06,TOSE,Nintendo,JRPG,Rated E For Everyone,8.1,84,185
Sunset Overdrive and the Mystery of the Mooil Rig!,2014-12-23,Insomniac Games,Microsoft Game Studios,Third Person Shooter,Rated M For Mature,7.1,35,186
From Dust,2011-07-27,Ubisoft Montpellier,Ubisoft,Strategy,Rated E +10 For Everyone +10,7.6,90,187
Mr.Ninja,2011-03-24,Ponos,Ponos,Action,,,,188
Kill Strain,2016-07-12,SCEA San Diego Studios,Sony Interactive Entertainment,Third Person Shooter,Rated T For Teen,7.2,31,189
Kingdom Under Fire: Heroes,2005-09-20,Phantagram,Microsoft Game Studios,Real-Time Strategy,Rated M For Mature,6.9,18,190
All Walls Must Fall,2017-08-08,inbetweengames,inbetweengames,Real-Time Tactics,,,,191
Wanted Corp,2011-12-06,EKO Software,Zoo Entertainment,Top-Down Shoot-'Em-Up,Rated T For Teen,,,192
Mini Ninjas Adventures,2012-06-29,Side Kick LTD,Square Enix,Action,Rated E +10 For Everyone +10,8,,193
Jim Henson's Muppets Party Cruise,2003-11-13,Mass Media,TDK Mediactive,Party,Rated E For Everyone,7.8,,194
Drake of the 99 Dragons,2003-11-03,Idol FX,Majesco,Third Person Shooter,Rated T For Teen,1.8,29,195
The Outlast Trials,2024-03-05,Red Barrels,Red Barrels,Survival,,,,196
Before We Leave,2021-05-13,Balancing Monkey Games,Team17,Management,,7.5,37,197
Sayonara UmiharaKawase +,2015-04-21,Studio Saizensen,Agatsuma Entertainment,2D Platformer,Rated E For Everyone,8.2,13,198
Dark Void Zero,2010-01-18,Other Ocean Interactive,Capcom,2D Platformer,Rated E For Everyone,5.7,7,199
Sonic the Hedgehog 2,2020-02-20,M2,Sega,2D Platformer,Rated E For Everyone,8.2,44,200
Reign of Fire,2002-10-22,Kuju Entertainment,Bam Entertainment,Third Person Shooter,Rated M For Mature,6.8,,201
IndyCar Series,2003-05-21,Codemasters,Codemasters,Auto Racing Sim,Rated E For Everyone,,,202
Dance Dance Revolution Extreme,2004-09-21,KCET,Konami,Dancing,Rated E For Everyone,4,,203
The Lord of the Rings: Return to Moria,2023-10-24,Free Range Games,North Beach Games,Sandbox,Rated T For Teen,7.1,105,204
Golf: Tee It Up!,2008-07-09,Housemarque,Activision,Golf,Rated E For Everyone,,,205
Broken Sword: Shadow of the Templars,2009-03-24,Revolution Software,Ubisoft,Point-and-Click,Rated T For Teen,8.9,15,206
Mechanic Master,2008-10-21,Most Wanted Entertainment,Midway,Puzzle,Rated E For Everyone,,,207
Gel: Set & Match,2009-05-20,Gastronaut Studios,Gastronaut Studios,Action Puzzle,Rated E For Everyone,,,208
Grow Up,2016-08-16,Ubisoft Reflections,Ubisoft,Open-World Action,Rated E For Everyone,6.6,37,209
God of War: Chains of Olympus,2008-03-04,Ready at Dawn,SCEA,Linear Action Adventure,Rated M For Mature,8.6,1047,210
Aliens vs. Predator: Requiem,2007-11-13,Rebellion,Sierra Entertainment,Action Adventure,Rated T For Teen,8.5,80,211
Ratchet & Clank,2002-11-04,Insomniac Games,SCEA,3D Platformer,Rated T For Teen,8.8,520,212
Age of Empires: Mythologies,2008-11-24,Griptonite Games,THQ,Turn-Based Tactics,Rated E +10 For Everyone +10,7.8,43,213
Republic: The Revolution,2003-08-27,Elixir Studios,Eidos Interactive,Real-Time Strategy,Rated T For Teen,6,11,214
BAFL: Brakes Are For Losers,2018-04-19,Oudidon,Oudidon,Auto Racing,Rated E For Everyone,,,215
Grand Prix Challenge,2003-03-03,Melbourne House,Infogrames,Auto Racing Sim,Rated E For Everyone,,,216
Vanishing Point,2001-01-03,Clockwork Games,Acclaim,Auto Racing,Rated E For Everyone,8.2,11,217
Gungrave,2002-09-16,RED Entertainment,Sega,Third Person Shooter,Rated M For Mature,7.7,24,218
Guild Wars 2: End of Dragons,2022-02-28,ArenaNet,NCSOFT,MMORPG,Rated T For Teen,7.4,120,219
Star Wars: Jedi Starfighter,2002-03-10,LucasArts,LucasArts,Space Combat Sim,Rated T For Teen,8.5,23,220
Crusader Kings II: The Old Gods,2013-05-28,Paradox Development Studio,Paradox Interactive,Real-Time Strategy,,8.6,187,221
WWE Crush Hour,2003-03-17,Pacific Coast Power & Light,THQ,Vehicle Combat Sim,Rated T For Teen,,,222
Dead Cells,2018-08-07,Motion Twin,Motion Twin,Metroidvania,Rated T For Teen,8.4,566,223
Gemini: Heroes Reborn,2016-01-18,"Phosphor Games Studio, LLC","Phosphor Games Studio, LLC",Linear Action Adventure,Rated T For Teen,5.5,22,224
Pro Evolution Soccer 2010,2009-11-03,Konami,Konami,Soccer Sim,Rated E For Everyone,6.7,44,225
Hot Wheels Unleashed,2021-09-27,Milestone S.r.l,Milestone S.r.l,Auto Racing,Rated E For Everyone,7,96,226
King's Quest Chapter 3: Once Upon a Climb,2016-04-26,The Odd Gentlemen,Sierra Games,Adventure,Rated E +10 For Everyone +10,7.4,28,227
Tails: The Backbone Preludes,2023-02-02,EggNut,Raw Fury,Adventure,,,,228
100 Rogues,2010-05-04,Fusion Reactions,Fusion Reactions,RPG,,6.2,6,229
X-Blades,2009-02-06,Gaijin Entertainment,SouthPeak Games,3D Beat-'Em-Up,Rated M For Mature,5.3,13,230
Castlevania: Harmony of Despair,2010-08-04,Konami,Konami,Action Adventure,Rated T For Teen,7.5,36,231
Puzzle Restorer,2013-02-14,,,Action,,,,232
The Scorpion King: Rise of the Akkadian,2002-09-11,Point of View,Universal Interactive,3D Beat-'Em-Up,Rated T For Teen,,,233
Star Wars Galaxies: An Empire Divided,2003-07-09,Sony Online Entertainment,LucasArts,MMORPG,Rated T For Teen,6.4,43,234
Game & Watch Gallery 4,2002-10-28,TOSE,Nintendo,Compilation,Rated E For Everyone,7,,235
Tchia,2023-03-21,Awaceb,Kepler Interactive,Open-World Action,Rated T For Teen,6.7,121,236
Katamari Damacy REROLL,2018-12-07,Bandai Namco Games,Bandai Namco Games,Action Adventure,Rated E For Everyone,7.9,117,237
Showtime Championship Boxing,2007-12-13,Nikitova Games,DSI Games,Combat Sport,Rated E +10 For Everyone +10,,,238
The Bureau: XCOM Declassified,2013-08-19,2K Marin,2K Games,Tactical Third Person Shooter,Rated M For Mature,6.5,694,239
The Sims 4: Seasons,2018-06-22,Maxis,Electronic Arts,Virtual Life,Rated T For Teen,6.2,80,240
MechWarrior 5: Mercenaries,2019-12-10,Piranha Games,Piranha Games,Vehicle Combat Sim,,5.4,296,241
The Walking Dead: The Telltale Series - The Final Season,2018-08-13,Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,8,317,242
